coder_pair,substance,block,item_id,level_1,level_2,level_3,n_shared_scenes,n_A_coded,n_B_coded,both_yes,A_only,B_only,both_no,observed_agreement,expected_agreement,prevalence,cohens_kappa,kappa_SE,pabak,kappa_label
Psil 11-20: Francesco × Susana,psilocybin,11-20,visual_hallucination_extraordinary_entity_god,Visual hallucination,Extraordinary entity,God,57,2,2,1,1,1,54,0.9649,0.9323,0.0351,0.4818,0.3599,0.9298,moderate
Psil 11-20: Francesco × Susana,psilocybin,11-20,visual_hallucination_extraordinary_entity_spirit,Visual hallucination,Extraordinary entity,Spirit,57,1,1,1,0,0,56,1.0,0.9655,0.0175,1.0,0.0,1.0,almost-perfect
Psil 11-20: Francesco × Susana,psilocybin,11-20,visual_hallucination_extraordinary_entity_alien,Visual hallucination,Extraordinary entity,Alien,57,0,1,0,0,1,56,0.9825,0.9825,0.0088,0.0,0.9912,0.9649,slight
Psil 11-20: Francesco × Susana,psilocybin,11-20,visual_hallucination_extraordinary_entity_other,Visual hallucination,Extraordinary entity,Other,57,3,1,1,2,0,54,0.9649,0.9317,0.0351,0.4865,0.3567,0.9298,moderate
Psil 11-20: Francesco × Susana,psilocybin,11-20,auditory_hallucination_human_relatives_acquaintances,Auditory hallucination,Human,"Relative(s), acquaintance(s)",57,1,1,1,0,0,56,1.0,0.9655,0.0175,1.0,0.0,1.0,almost-perfect
Psil 11-20: Francesco × Susana,psilocybin,11-20,auditory_hallucination_human_others,Auditory hallucination,Human,Other(s),57,2,2,2,0,0,55,1.0,0.9323,0.0351,1.0,0.0,1.0,almost-perfect
Psil 11-20: Francesco × Susana,psilocybin,11-20,auditory_hallucination_animal_mammal,Auditory hallucination,Animal,Mammal,57,1,0,0,1,0,56,0.9825,0.9825,0.0088,0.0,0.9912,0.9649,slight
Psil 11-20: Francesco × Susana,psilocybin,11-20,auditory_hallucination_animal_other,Auditory hallucination,Animal,Other,57,0,1,0,0,1,56,0.9825,0.9825,0.0088,0.0,0.9912,0.9649,slight
Psil 11-20: Francesco × Susana,psilocybin,11-20,auditory_hallucination_extraordinary_entity_alien,Auditory hallucination,Extraordinary entity,Alien,57,0,1,0,0,1,56,0.9825,0.9825,0.0088,0.0,0.9912,0.9649,slight
Psil 11-20: Francesco × Susana,psilocybin,11-20,auditory_hallucination_extraordinary_entity_other,Auditory hallucination,Extraordinary entity,Other,57,2,1,1,1,0,55,0.9825,0.9486,0.0263,0.6587,0.3383,0.9649,substantial
Psil 11-20: Francesco × Susana,psilocybin,11-20,tactile_hallucination_human,Tactile hallucination,Human,,57,2,0,0,2,0,55,0.9649,0.9649,0.0175,0.0,0.6946,0.9298,slight
Psil 11-20: Francesco × Susana,psilocybin,11-20,tactile_hallucination_artefact,Tactile hallucination,Artefact,,57,1,0,0,1,0,56,0.9825,0.9825,0.0088,0.0,0.9912,0.9649,slight
Psil 11-20: Francesco × Susana,psilocybin,11-20,tactile_hallucination_inorganic_entity,Tactile hallucination,Inorganic entity,,57,0,2,0,0,2,55,0.9649,0.9649,0.0175,0.0,0.6946,0.9298,slight
Psil 11-20: Francesco × Susana,psilocybin,11-20,tactile_hallucination_extraordinary_entity,Tactile hallucination,Extraordinary entity,,57,1,1,1,0,0,56,1.0,0.9655,0.0175,1.0,0.0,1.0,almost-perfect
Psil 11-20: Francesco × Susana,psilocybin,11-20,tactile_hallucination_other,Tactile hallucination,Other,,57,2,1,0,2,1,54,0.9474,0.9486,0.0263,-0.024,0.5754,0.8947,worse-than-chance
Psil 11-20: Francesco × Susana,psilocybin,11-20,nonsensory_hallucination_human,Nonsensory hallucination,Human,,57,0,1,0,0,1,56,0.9825,0.9825,0.0088,0.0,0.9912,0.9649,slight
Psil 11-20: Francesco × Susana,psilocybin,11-20,nonsensory_hallucination_extraordinary_entity,Nonsensory hallucination,Extraordinary entity,,57,1,1,1,0,0,56,1.0,0.9655,0.0175,1.0,0.0,1.0,almost-perfect
Psil 11-20: Francesco × Susana,psilocybin,11-20,nonsensory_hallucination_other,Nonsensory hallucination,Other,,57,1,3,1,0,2,54,0.9649,0.9317,0.0351,0.4865,0.3567,0.9298,moderate
Psil 11-20: Francesco × Susana,psilocybin,11-20,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination,Possible and probable event,,57,1,3,1,0,2,54,0.9649,0.9317,0.0351,0.4865,0.3567,0.9298,moderate
Psil 11-20: Francesco × Susana,psilocybin,11-20,modal_status_of_the_hallucination_possible_but_improbable_event,Modal status of the hallucination,Possible but improbable event,,57,3,5,1,2,4,50,0.8947,0.8689,0.0702,0.1972,0.31,0.7895,slight
Psil 11-20: Francesco × Susana,psilocybin,11-20,modal_status_of_the_hallucination_impossible_event,Modal status of the hallucination,Impossible event,,57,33,33,19,14,14,10,0.5088,0.5125,0.5789,-0.0076,0.1358,0.0175,worse-than-chance
