coder_pair,substance,block,item_id,level_1,level_2,level_3,n_shared_scenes,n_A_coded,n_B_coded,both_yes,A_only,B_only,both_no,observed_agreement,expected_agreement,prevalence,cohens_kappa,kappa_SE,pabak,kappa_label
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration,Hallucination of an incrusted object,,38,22,24,15,7,9,7,0.5789,0.5208,0.6053,0.1214,0.1671,0.1579,slight
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration,Hallucination of a detached object,,38,6,3,3,3,0,32,0.9211,0.7881,0.1184,0.6275,0.2064,0.8421,substantial
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,type_of_visual_alteration_full_blown_immersive_hallucination,Type of visual alteration,Full-blown immersive hallucination,,38,2,10,2,0,8,28,0.7895,0.7119,0.1579,0.2692,0.2296,0.5789,fair
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,visual_hallucination_geometrical_pattern,Visual hallucination,Geometrical pattern,,38,1,0,0,1,0,37,0.9737,0.9737,0.0132,0.0,0.9868,0.9474,slight
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,visual_hallucination_human_relatives_acquaintances,Visual hallucination,Human,"Relative(s), acquaintance(s)",38,10,12,9,1,3,25,0.8947,0.5873,0.2895,0.745,0.1206,0.7895,substantial
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,visual_hallucination_human_unknown_persons,Visual hallucination,Human,Unknown person(s),38,6,8,5,1,3,29,0.8947,0.6981,0.1842,0.6514,0.1649,0.7895,substantial
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,visual_hallucination_human_others,Visual hallucination,Human,Other(s),38,0,1,0,0,1,37,0.9737,0.9737,0.0132,0.0,0.9868,0.9474,slight
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,visual_hallucination_artefact_vehicle,Visual hallucination,Artefact,Vehicle,38,1,0,0,1,0,37,0.9737,0.9737,0.0132,0.0,0.9868,0.9474,slight
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,visual_hallucination_artefact_city_building_furniture,Visual hallucination,Artefact,"City, building, furniture",38,3,0,0,3,0,35,0.9211,0.9211,0.0395,0.0,0.5541,0.8421,slight
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,visual_hallucination_artefact_technological_device,Visual hallucination,Artefact,Technological device,38,0,1,0,0,1,37,0.9737,0.9737,0.0132,0.0,0.9868,0.9474,slight
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,visual_hallucination_artefact_tool_cloth,Visual hallucination,Artefact,"Tool, cloth",38,4,0,0,4,0,34,0.8947,0.8947,0.0526,0.0,0.473,0.7895,slight
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,visual_hallucination_artefact_other,Visual hallucination,Artefact,Other,38,5,0,0,5,0,33,0.8684,0.8684,0.0658,0.0,0.4168,0.7368,slight
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,visual_hallucination_animal_mammal,Visual hallucination,Animal,Mammal,38,1,1,1,0,0,37,1.0,0.9488,0.0263,1.0,0.0,1.0,almost-perfect
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,visual_hallucination_animal_insect,Visual hallucination,Animal,Insect,38,1,1,1,0,0,37,1.0,0.9488,0.0263,1.0,0.0,1.0,almost-perfect
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,visual_hallucination_animal_other,Visual hallucination,Animal,Other,38,1,2,1,0,1,36,0.9737,0.9238,0.0395,0.6545,0.3409,0.9474,substantial
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,visual_hallucination_inorganic_entity_other,Visual hallucination,Inorganic entity,Other,38,4,4,1,3,3,31,0.8421,0.8116,0.1053,0.1618,0.314,0.6842,slight
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,visual_hallucination_extraordinary_entity_other,Visual hallucination,Extraordinary entity,Other,38,2,0,0,2,0,36,0.9474,0.9474,0.0263,-0.0,0.6882,0.8947,worse-than-chance
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,auditory_hallucination_human_relatives_acquaintances,Auditory hallucination,Human,"Relative(s), acquaintance(s)",38,3,1,1,2,0,35,0.9474,0.8989,0.0526,0.4795,0.3583,0.8947,moderate
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,auditory_hallucination_human_unknown_persons,Auditory hallucination,Human,Unknown person(s),38,3,2,2,1,0,35,0.9737,0.8767,0.0658,0.7865,0.2107,0.9474,substantial
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,auditory_hallucination_inorganic_entity_other,Auditory hallucination,Inorganic entity,Other,38,1,1,1,0,0,37,1.0,0.9488,0.0263,1.0,0.0,1.0,almost-perfect
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,tactile_hallucination_human,Tactile hallucination,Human,,38,0,1,0,0,1,37,0.9737,0.9737,0.0132,0.0,0.9868,0.9474,slight
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,tactile_hallucination_artefact,Tactile hallucination,Artefact,,38,5,4,1,4,3,30,0.8158,0.7909,0.1184,0.1192,0.3007,0.6316,slight
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,tactile_hallucination_inorganic_entity,Tactile hallucination,Inorganic entity,,38,1,0,0,1,0,37,0.9737,0.9737,0.0132,0.0,0.9868,0.9474,slight
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,tactile_hallucination_extraordinary_entity,Tactile hallucination,Extraordinary entity,,38,0,1,0,0,1,37,0.9737,0.9737,0.0132,0.0,0.9868,0.9474,slight
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,tactile_hallucination_other,Tactile hallucination,Other,,38,2,0,0,2,0,36,0.9474,0.9474,0.0263,-0.0,0.6882,0.8947,worse-than-chance
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,gustatory_hallucination,Gustatory hallucination,,,38,1,1,1,0,0,37,1.0,0.9488,0.0263,1.0,0.0,1.0,almost-perfect
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,nonsensory_hallucination_extraordinary_entity,Nonsensory hallucination,Extraordinary entity,,38,1,0,0,1,0,37,0.9737,0.9737,0.0132,0.0,0.9868,0.9474,slight
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination,Possible and probable event,,38,5,14,5,0,9,24,0.7632,0.597,0.25,0.4124,0.1711,0.5263,moderate
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,modal_status_of_the_hallucination_possible_but_improbable_event,Modal status of the hallucination,Possible but improbable event,,38,8,15,5,3,10,20,0.6579,0.5609,0.3026,0.2208,0.1753,0.3158,fair
Brug 11-20: Alessandra × Alessio,brugmansia,11-20,modal_status_of_the_hallucination_impossible_event,Modal status of the hallucination,Impossible event,,38,12,7,4,8,3,23,0.7105,0.6163,0.25,0.2455,0.1918,0.4211,fair
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,type_of_visual_alteration_illusion,Type of visual alteration,Illusion,,48,15,21,15,0,6,27,0.875,0.5234,0.375,0.7377,0.1002,0.75,substantial
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration,Hallucination of an incrusted object,,48,1,5,1,0,4,43,0.9167,0.8793,0.0625,0.3094,0.3306,0.8333,fair
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration,Hallucination of a detached object,,48,20,2,1,19,1,27,0.5833,0.5764,0.2292,0.0164,0.168,0.1667,slight
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,type_of_visual_alteration_full_blown_immersive_hallucination,Type of visual alteration,Full-blown immersive hallucination,,48,7,11,7,0,4,37,0.9167,0.6918,0.1875,0.7296,0.1295,0.8333,substantial
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,visual_hallucination_geometrical_pattern,Visual hallucination,Geometrical pattern,,48,7,4,2,5,2,39,0.8542,0.7951,0.1146,0.2881,0.2487,0.7083,fair
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,visual_hallucination_human_relatives_acquaintances,Visual hallucination,Human,"Relative(s), acquaintance(s)",48,3,1,1,2,0,45,0.9583,0.9193,0.0417,0.4839,0.3573,0.9167,moderate
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,visual_hallucination_human_unknown_persons,Visual hallucination,Human,Unknown person(s),48,2,1,1,1,0,46,0.9792,0.9392,0.0312,0.6571,0.3393,0.9583,substantial
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,visual_hallucination_human_others,Visual hallucination,Human,Other(s),48,2,0,0,2,0,46,0.9583,0.9583,0.0208,0.0,0.6922,0.9167,slight
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,visual_hallucination_artefact_city_building_furniture,Visual hallucination,Artefact,"City, building, furniture",48,3,2,2,1,0,45,0.9792,0.901,0.0521,0.7895,0.2083,0.9583,substantial
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,visual_hallucination_artefact_tool_cloth,Visual hallucination,Artefact,"Tool, cloth",48,2,0,0,2,0,46,0.9583,0.9583,0.0208,0.0,0.6922,0.9167,slight
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,visual_hallucination_artefact_other,Visual hallucination,Artefact,Other,48,3,1,0,3,1,44,0.9167,0.9193,0.0417,-0.0323,0.4942,0.8333,worse-than-chance
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,visual_hallucination_animal_mammal,Visual hallucination,Animal,Mammal,48,0,1,0,0,1,47,0.9792,0.9792,0.0104,0.0,0.9895,0.9583,slight
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,visual_hallucination_animal_aquatic_animal,Visual hallucination,Animal,Aquatic animal,48,0,1,0,0,1,47,0.9792,0.9792,0.0104,0.0,0.9895,0.9583,slight
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,visual_hallucination_animal_insect,Visual hallucination,Animal,Insect,48,2,1,1,1,0,46,0.9792,0.9392,0.0312,0.6571,0.3393,0.9583,substantial
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,visual_hallucination_animal_other,Visual hallucination,Animal,Other,48,2,2,2,0,0,46,1.0,0.9201,0.0417,1.0,0.0,1.0,almost-perfect
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,visual_hallucination_plant_tree_shrub,Visual hallucination,Plant,"Tree, shrub",48,1,1,0,1,1,46,0.9583,0.9592,0.0208,-0.0213,0.7069,0.9167,worse-than-chance
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,visual_hallucination_plant_flower_grass,Visual hallucination,Plant,"Flower, grass",48,2,1,1,1,0,46,0.9792,0.9392,0.0312,0.6571,0.3393,0.9583,substantial
