trip_id,substance,rater,coder_name,n_scenes_individuated,n_scene_codes,n_trip_codes,codes_per_scene,modal_status_uses,incrusted_uses,detached_uses,illusion_uses,immersive_uses
Psilocybe_05,psilocybin,B,Brendan,5,14,1,2.8,2,1,0,2,2
Psilocybe_06,psilocybin,A,Alessandra,9,10,5,1.11,0,0,0,5,0
Psilocybe_06,psilocybin,B,Brendan,3,3,1,1.0,0,0,0,3,0
Psilocybe_07,psilocybin,A,Alessandra,8,32,8,4.0,7,0,3,0,3
Psilocybe_07,psilocybin,B,Brendan,7,21,2,3.0,5,0,1,0,4
Psilocybe_08,psilocybin,A,Alessandra,11,30,10,2.73,9,0,8,2,1
Psilocybe_08,psilocybin,B,Brendan,7,13,3,1.86,3,0,1,2,1
Psilocybe_09,psilocybin,A,Alessandra,5,15,13,3.0,4,0,4,1,0
Psilocybe_09,psilocybin,B,Brendan,1,1,1,1.0,0,0,0,1,0
Psilocybe_10,psilocybin,A,Alessandra,7,10,7,1.43,1,0,1,6,0
Psilocybe_10,psilocybin,B,Brendan,6,6,3,1.0,0,0,0,6,0
Psilocybe_11,psilocybin,A,Francesco,6,26,2,4.33,7,0,0,0,4
Psilocybe_11,psilocybin,B,Susana,8,20,1,2.5,2,0,1,0,1
Psilocybe_12,psilocybin,A,Francesco,8,25,7,3.12,5,0,3,3,1
Psilocybe_12,psilocybin,B,Susana,8,19,1,2.38,3,1,1,2,1
Psilocybe_13,psilocybin,A,Francesco,10,39,3,3.9,9,3,0,0,6
Psilocybe_13,psilocybin,B,Susana,12,39,1,3.25,8,1,0,3,4
Psilocybe_14,psilocybin,A,Francesco,4,14,7,3.5,2,0,1,1,1
Psilocybe_14,psilocybin,B,Susana,5,14,1,2.8,4,0,1,1,1
Psilocybe_15,psilocybin,A,Francesco,13,26,6,2.0,4,0,1,5,3
Psilocybe_15,psilocybin,B,Susana,12,23,1,1.92,8,0,0,3,1
Psilocybe_16,psilocybin,A,Francesco,6,13,5,2.17,0,0,4,2,0
Psilocybe_16,psilocybin,B,Susana,8,19,2,2.38,6,2,0,2,1
Psilocybe_17,psilocybin,A,Francesco,7,34,5,4.86,7,0,1,1,4
Psilocybe_17,psilocybin,B,Susana,6,20,1,3.33,5,3,0,1,1
Psilocybe_18,psilocybin,A,Francesco,8,23,4,2.88,5,2,3,3,0
Psilocybe_18,psilocybin,B,Susana,6,18,2,3.0,6,2,0,4,0
Psilocybe_19,psilocybin,A,Francesco,4,9,5,2.25,1,0,0,3,0
Psilocybe_19,psilocybin,B,Susana,8,28,2,3.5,8,0,0,3,6
Psilocybe_20,psilocybin,A,Francesco,14,20,4,1.43,0,0,0,12,0
Psilocybe_20,psilocybin,B,Susana,6,15,1,2.5,6,0,0,6,0
