code_id,scene_id,trip_id,rater,coder_name,item_id,item_path,level_1,level_2,level_3,is_scene_level,excerpt
C000036,Brugmansia_02_S03_A,Brugmansia_02,A,Brendan,visual_hallucination_human_relatives_acquaintances,"Visual hallucination | Human | Relative(s), acquaintance(s)",Visual hallucination,Human,"Relative(s), acquaintance(s)",True,
C000037,Brugmansia_02_S03_A,Brugmansia_02,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,
C000038,Brugmansia_02_S04_A,Brugmansia_02,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,
C000039,Brugmansia_02_S04_A,Brugmansia_02,A,Brendan,visual_hallucination_human_unknown_persons,Visual hallucination | Human | Unknown person(s),Visual hallucination,Human,Unknown person(s),True,
C000040,Brugmansia_02_S04_A,Brugmansia_02,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,
C000041,Brugmansia_02_S05_A,Brugmansia_02,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,
C000042,Brugmansia_02_S05_A,Brugmansia_02,A,Brendan,visual_hallucination_human_others,Visual hallucination | Human | Other(s),Visual hallucination,Human,Other(s),True,
C000043,Brugmansia_02_S05_A,Brugmansia_02,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,
C000044,Brugmansia_02_S06_B,Brugmansia_02,B,Noah,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,
C000045,,Brugmansia_02,A,Brendan,sense_of_strangeness_and_enigma,Sense of strangeness and enigma,Sense of strangeness and enigma,,,False,"Suddenly, I felt strange. Like everything was supposed to be normal, but I was somehow in the wrong place"
C000046,,Brugmansia_02,B,Noah,sense_of_reality_delusional,Sense of reality | Delusional,Sense of reality,Delusional,,False,eating a long blade of grass...smoking a cigarette that wasn't there
C000047,Brugmansia_03_S01_AB,Brugmansia_03,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,
