trip_id,substance,block,coder_A,coder_B,word_count,n_scenes,attr__amnesia,attr__arousal__abnormally_high,attr__arousal__abnormally_low,attr__domain_specific_violation__biological_projection,attr__domain_specific_violation__psychological_projection,attr__dynamics_of_the_hallucination__no_object_constancy,attr__dynamics_of_the_hallucination__object_constancy,attr__ego_dissolution__bodily_self,attr__ego_dissolution__core_self,attr__ego_dissolution__social_self,attr__emotion__negative_emotion,attr__emotion__positive_emotion,attr__enhanced_mental_imagery,attr__insight__existential,attr__insight__metaphysical,attr__insight__practical,attr__insight__religious,attr__out_of_body_experience,attr__own_body_distortion,attr__sense_of_reality__delusional,attr__sense_of_reality__lucid,attr__sense_of_strangeness_and_enigma,attr__sense_of_surprise_and_unexpectedness,attr__sensory_delight__auditory__music,attr__sensory_delight__auditory__nature,attr__sensory_delight__auditory__other,attr__sensory_delight__erotic,attr__sensory_delight__haptic,attr__sensory_delight__visual__artefact,attr__sensory_delight__visual__nature,attr__sensory_delight__visual__other
Psilocybe_09,psilocybin,01-10,Alessandra,Brendan,1203,5,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1
Psilocybe_10,psilocybin,01-10,Alessandra,Brendan,3027,7,2,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
Psilocybe_11,psilocybin,11-20,Francesco,Susana,2382,8,0,0,0,0,0,2,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psilocybe_12,psilocybin,11-20,Francesco,Susana,2695,10,0,0,0,0,0,1,2,0,2,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,2
Psilocybe_13,psilocybin,11-20,Francesco,Susana,1597,13,0,0,0,1,0,2,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psilocybe_14,psilocybin,11-20,Francesco,Susana,1476,6,0,0,0,0,0,1,0,0,0,0,1,1,0,2,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
Psilocybe_15,psilocybin,11-20,Francesco,Susana,1953,16,1,0,0,0,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
Psilocybe_16,psilocybin,11-20,Francesco,Susana,2683,9,1,0,0,0,0,1,1,0,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Psilocybe_17,psilocybin,11-20,Francesco,Susana,2372,7,0,0,0,0,0,1,0,1,0,0,1,1,0,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Psilocybe_18,psilocybin,11-20,Francesco,Susana,5531,8,0,0,0,0,1,0,1,0,0,0,2,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Psilocybe_19,psilocybin,11-20,Francesco,Susana,2210,11,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0
Psilocybe_20,psilocybin,11-20,Francesco,Susana,3093,14,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1
