item_id,parent_id,depth,level_1,level_2,level_3,path,is_leaf,has_children,is_scene_level,is_trip_level
auditory_hallucination_human,auditory_hallucination,1,Auditory hallucination,Human,,Auditory hallucination | Human,False,True,True,False
auditory_hallucination_human_historical_figures,auditory_hallucination_human,2,Auditory hallucination,Human,Historical figure(s),Auditory hallucination | Human | Historical figure(s),True,False,True,False
auditory_hallucination_human_celebrityies,auditory_hallucination_human,2,Auditory hallucination,Human,Celebrity(ies),Auditory hallucination | Human | Celebrity(ies),True,False,True,False
auditory_hallucination_human_relatives_acquaintances,auditory_hallucination_human,2,Auditory hallucination,Human,"Relative(s), acquaintance(s)","Auditory hallucination | Human | Relative(s), acquaintance(s)",True,False,True,False
auditory_hallucination_human_unknown_persons,auditory_hallucination_human,2,Auditory hallucination,Human,Unknown person(s),Auditory hallucination | Human | Unknown person(s),True,False,True,False
auditory_hallucination_human_shamans_priests_witches,auditory_hallucination_human,2,Auditory hallucination,Human,"Shaman(s), priest(s), witch(es)","Auditory hallucination | Human | Shaman(s), priest(s), witch(es)",True,False,True,False
auditory_hallucination_human_others,auditory_hallucination_human,2,Auditory hallucination,Human,Other(s),Auditory hallucination | Human | Other(s),True,False,True,False
auditory_hallucination_artefact,auditory_hallucination,1,Auditory hallucination,Artefact,,Auditory hallucination | Artefact,False,True,True,False
auditory_hallucination_artefact_vehicle,auditory_hallucination_artefact,2,Auditory hallucination,Artefact,Vehicle,Auditory hallucination | Artefact | Vehicle,True,False,True,False
auditory_hallucination_artefact_city_building_furniture,auditory_hallucination_artefact,2,Auditory hallucination,Artefact,"City, building, furniture","Auditory hallucination | Artefact | City, building, furniture",True,False,True,False
auditory_hallucination_artefact_technological_device,auditory_hallucination_artefact,2,Auditory hallucination,Artefact,Technological device,Auditory hallucination | Artefact | Technological device,True,False,True,False
auditory_hallucination_artefact_tool_cloth,auditory_hallucination_artefact,2,Auditory hallucination,Artefact,"Tool, cloth","Auditory hallucination | Artefact | Tool, cloth",True,False,True,False
