bin_id,trip_id,bin_span_start,bin_span_end,bin_status,n_scenes_in_bin,n_both_scenes,n_only_A_scenes,n_only_B_scenes,granularity_recovered,chunking_split,member_scene_ids
Psilocybe_15_B236,Psilocybe_15,8377,8500,both,1,1,0,0,False,False,Psilocybe_15_S16_AB
Psilocybe_16_B237,Psilocybe_16,807,930,both,1,1,0,0,False,False,Psilocybe_16_S01_AB
Psilocybe_16_B238,Psilocybe_16,930,1080,both,1,1,0,0,False,False,Psilocybe_16_S02_AB
Psilocybe_16_B239,Psilocybe_16,1082,1180,only_A,1,0,1,0,False,False,Psilocybe_16_S03_A
Psilocybe_16_B240,Psilocybe_16,1208,1480,both,1,1,0,0,False,False,Psilocybe_16_S04_AB
Psilocybe_16_B241,Psilocybe_16,1489,1700,only_B,1,0,0,1,False,False,Psilocybe_16_S05_B
Psilocybe_16_B242,Psilocybe_16,3004,3100,both,1,1,0,0,False,False,Psilocybe_16_S06_AB
Psilocybe_16_B243,Psilocybe_16,3332,3550,both,1,1,0,0,False,False,Psilocybe_16_S07_AB
Psilocybe_16_B244,Psilocybe_16,4812,5180,only_B,1,0,0,1,False,False,Psilocybe_16_S08_B
Psilocybe_16_B245,Psilocybe_16,7786,8000,only_B,1,0,0,1,False,False,Psilocybe_16_S09_B
Psilocybe_17_B246,Psilocybe_17,1491,1700,only_A,1,0,1,0,False,False,Psilocybe_17_S01_A
Psilocybe_17_B247,Psilocybe_17,1848,2100,both,1,1,0,0,False,False,Psilocybe_17_S02_AB
Psilocybe_17_B248,Psilocybe_17,2952,5100,both,2,2,0,0,False,False,Psilocybe_17_S03_AB;Psilocybe_17_S04_AB
Psilocybe_17_B249,Psilocybe_17,5257,5480,both,1,1,0,0,False,False,Psilocybe_17_S05_AB
Psilocybe_17_B250,Psilocybe_17,5896,6200,both,1,1,0,0,False,False,Psilocybe_17_S06_AB
Psilocybe_17_B251,Psilocybe_17,7027,7150,both,1,1,0,0,False,False,Psilocybe_17_S07_AB
Psilocybe_18_B252,Psilocybe_18,1780,1920,both,1,1,0,0,False,False,Psilocybe_18_S01_AB
Psilocybe_18_B253,Psilocybe_18,2119,3000,both,2,2,0,0,False,False,Psilocybe_18_S02_AB;Psilocybe_18_S03_AB
Psilocybe_18_B254,Psilocybe_18,5351,5500,both,1,1,0,0,False,False,Psilocybe_18_S04_AB
Psilocybe_18_B255,Psilocybe_18,9144,9280,both,1,1,0,0,False,False,Psilocybe_18_S05_AB
Psilocybe_18_B256,Psilocybe_18,10193,10320,only_A,1,0,1,0,False,False,Psilocybe_18_S06_A
Psilocybe_18_B257,Psilocybe_18,26752,26900,both,1,1,0,0,False,False,Psilocybe_18_S07_AB
Psilocybe_18_B258,Psilocybe_18,28692,28800,only_A,1,0,1,0,False,False,Psilocybe_18_S08_A
Psilocybe_19_B259,Psilocybe_19,1024,1250,only_A,1,0,1,0,False,False,Psilocybe_19_S01_A
Psilocybe_19_B260,Psilocybe_19,2248,2380,only_A,1,0,1,0,False,False,Psilocybe_19_S02_A
Psilocybe_19_B261,Psilocybe_19,2703,2850,only_A,1,0,1,0,False,False,Psilocybe_19_S03_A
Psilocybe_19_B262,Psilocybe_19,4132,4780,only_B,1,0,0,1,False,False,Psilocybe_19_S04_B
Psilocybe_19_B263,Psilocybe_19,5117,5200,only_B,1,0,0,1,False,False,Psilocybe_19_S05_B
Psilocybe_19_B264,Psilocybe_19,5600,5730,both,1,1,0,0,False,False,Psilocybe_19_S06_AB
Psilocybe_19_B265,Psilocybe_19,5810,6080,only_B,1,0,0,1,False,False,Psilocybe_19_S07_B
Psilocybe_19_B266,Psilocybe_19,6301,6460,only_B,1,0,0,1,False,False,Psilocybe_19_S08_B
Psilocybe_19_B267,Psilocybe_19,6663,6800,only_B,1,0,0,1,False,False,Psilocybe_19_S09_B
Psilocybe_19_B268,Psilocybe_19,7970,8100,only_B,1,0,0,1,False,False,Psilocybe_19_S10_B
Psilocybe_19_B269,Psilocybe_19,8912,9060,only_B,1,0,0,1,False,False,Psilocybe_19_S11_B
Psilocybe_20_B270,Psilocybe_20,359,500,only_A,1,0,1,0,False,False,Psilocybe_20_S01_A
Psilocybe_20_B271,Psilocybe_20,1193,1300,only_A,1,0,1,0,False,False,Psilocybe_20_S02_A
Psilocybe_20_B272,Psilocybe_20,1594,1700,only_A,1,0,1,0,False,False,Psilocybe_20_S03_A
Psilocybe_20_B273,Psilocybe_20,2133,2280,both,1,1,0,0,False,False,Psilocybe_20_S04_AB
Psilocybe_20_B274,Psilocybe_20,2499,2650,only_A,1,0,1,0,False,False,Psilocybe_20_S05_A
Psilocybe_20_B275,Psilocybe_20,3603,3780,both,2,1,1,0,False,False,Psilocybe_20_S06_A;Psilocybe_20_S07_AB
Psilocybe_20_B276,Psilocybe_20,4375,4500,only_A,1,0,1,0,False,False,Psilocybe_20_S08_A
Psilocybe_20_B277,Psilocybe_20,5008,5200,both,1,1,0,0,False,False,Psilocybe_20_S09_AB
Psilocybe_20_B278,Psilocybe_20,9634,9850,only_A,1,0,1,0,False,False,Psilocybe_20_S10_A
Psilocybe_20_B279,Psilocybe_20,12002,12200,both,1,1,0,0,False,False,Psilocybe_20_S11_AB
Psilocybe_20_B280,Psilocybe_20,13574,13800,both,1,1,0,0,False,False,Psilocybe_20_S12_AB
Psilocybe_20_B281,Psilocybe_20,14395,14700,both,1,1,0,0,False,False,Psilocybe_20_S13_AB
Psilocybe_20_B282,Psilocybe_20,14942,15100,only_A,1,0,1,0,False,False,Psilocybe_20_S14_A
