bin_id,trip_id,bin_span_start,bin_span_end,bin_status,n_scenes_in_bin,n_both_scenes,n_only_A_scenes,n_only_B_scenes,granularity_recovered,chunking_split,member_scene_ids
Brugmansia_10_B055,Brugmansia_10,2440,2620,both,1,1,0,0,False,False,Brugmansia_10_S03_AB
Brugmansia_10_B056,Brugmansia_10,3144,3340,both,1,1,0,0,False,False,Brugmansia_10_S04_AB
Brugmansia_11_B057,Brugmansia_11,520,1300,both,2,2,0,0,False,False,Brugmansia_11_S01_AB;Brugmansia_11_S02_AB
Brugmansia_11_B058,Brugmansia_11,1559,2800,both,1,1,0,0,False,False,Brugmansia_11_S03_AB
Brugmansia_11_B059,Brugmansia_11,3030,3900,both,1,1,0,0,False,False,Brugmansia_11_S04_AB
Brugmansia_12_B060,Brugmansia_12,1221,1380,both,1,1,0,0,False,False,Brugmansia_12_S01_AB
Brugmansia_12_B061,Brugmansia_12,1519,1950,both,1,1,0,0,False,False,Brugmansia_12_S02_AB
Brugmansia_12_B062,Brugmansia_12,2097,2280,both,1,1,0,0,False,False,Brugmansia_12_S03_AB
Brugmansia_12_B063,Brugmansia_12,2287,2700,both,2,2,0,0,False,False,Brugmansia_12_S04_AB;Brugmansia_12_S05_AB
Brugmansia_12_B064,Brugmansia_12,3094,3700,both,1,1,0,0,False,False,Brugmansia_12_S06_AB
Brugmansia_12_B065,Brugmansia_12,3732,3830,only_B,1,0,0,1,False,False,Brugmansia_12_S07_B
Brugmansia_12_B066,Brugmansia_12,4498,4870,both,3,3,0,0,False,False,Brugmansia_12_S08_AB_LUMPA;Brugmansia_12_S08.1_AB_SPLITB;Brugmansia_12_S08.2_AB_SPLITB
Brugmansia_13_B067,Brugmansia_13,1025,1170,both,1,1,0,0,False,False,Brugmansia_13_S01_AB
Brugmansia_13_B068,Brugmansia_13,1594,1870,only_A,1,0,1,0,False,False,Brugmansia_13_S02_A
Brugmansia_13_B069,Brugmansia_13,2100,2420,both,1,1,0,0,False,False,Brugmansia_13_S03_AB
Brugmansia_13_B070,Brugmansia_13,3083,3270,only_B,1,0,0,1,False,False,Brugmansia_13_S04_B
Brugmansia_13_B071,Brugmansia_13,3518,3900,both,1,1,0,0,False,False,Brugmansia_13_S05_AB
Brugmansia_13_B072,Brugmansia_13,4252,4560,both,1,1,0,0,False,False,Brugmansia_13_S06_AB
Brugmansia_13_B073,Brugmansia_13,4568,4750,both,1,1,0,0,False,False,Brugmansia_13_S07_AB
Brugmansia_13_B074,Brugmansia_13,4856,5150,both,1,1,0,0,False,False,Brugmansia_13_S08_AB
Brugmansia_13_B075,Brugmansia_13,5154,5400,both,1,1,0,0,False,False,Brugmansia_13_S09_AB
Brugmansia_13_B076,Brugmansia_13,5526,5700,both,1,1,0,0,False,False,Brugmansia_13_S10_AB
Brugmansia_14_B077,Brugmansia_14,693,780,only_A,1,0,1,0,False,False,Brugmansia_14_S01_A
Brugmansia_14_B078,Brugmansia_14,896,1120,both,2,2,0,0,False,False,Brugmansia_14_S02_AB;Brugmansia_14_S03_AB
Brugmansia_14_B079,Brugmansia_14,1122,1350,both,1,1,0,0,False,False,Brugmansia_14_S04_AB
Brugmansia_14_B080,Brugmansia_14,1353,1510,both,2,2,0,0,False,False,Brugmansia_14_S05_AB;Brugmansia_14_S06_AB
Brugmansia_15_B081,Brugmansia_15,1304,1550,only_A,1,0,1,0,False,False,Brugmansia_15_S01_A
Brugmansia_15_B082,Brugmansia_15,1563,1760,both,1,1,0,0,False,False,Brugmansia_15_S02_AB
Brugmansia_16_B083,Brugmansia_16,1194,1370,both,1,1,0,0,False,False,Brugmansia_16_S01_AB
Brugmansia_17_B084,Brugmansia_17,2590,3050,only_A,1,0,1,0,False,False,Brugmansia_17_S01_A
Brugmansia_18_B085,Brugmansia_18,1432,1960,both,1,1,0,0,False,False,Brugmansia_18_S01_AB
Brugmansia_18_B086,Brugmansia_18,2079,2280,both,1,1,0,0,False,False,Brugmansia_18_S02_AB
Brugmansia_18_B087,Brugmansia_18,2415,2670,both,1,1,0,0,False,False,Brugmansia_18_S03_AB
Brugmansia_18_B088,Brugmansia_18,2674,2870,only_A,1,0,1,0,False,False,Brugmansia_18_S04_A
